"Latitude","Longitude","Mean.K0","id","j","i","n_nord","n_south","n_east","n_west","isZero","isBorder"
0.001,0.001,0,1,1,1,11,NA,2,NA,1,0
0.001,0.002,0,2,1,2,12,NA,3,1,1,0
0.001,0.003,0,3,1,3,13,NA,4,2,1,0
0.001,0.004,0,4,1,4,14,NA,5,3,1,0
0.001,0.005,0,5,1,5,15,NA,6,4,1,0
0.001,0.006,0,6,1,6,16,NA,7,5,1,0
0.001,0.007,0,7,1,7,17,NA,8,6,1,0
0.001,0.008,0,8,1,8,18,NA,9,7,1,0
0.001,0.009,0,9,1,9,19,NA,10,8,1,0
0.001,0.01,0,10,1,10,20,NA,NA,9,1,0
0.002,0.001,0,11,2,1,21,1,12,NA,1,0
0.002,0.002,1500,12,2,2,22,2,13,11,0,1
0.002,0.003,1500,13,2,3,23,3,14,12,0,1
0.002,0.004,1500,14,2,4,24,4,15,13,0,1
0.002,0.005,1500,15,2,5,25,5,16,14,0,1
0.002,0.006,1500,16,2,6,26,6,17,15,0,1
0.002,0.007,1500,17,2,7,27,7,18,16,0,1
0.002,0.008,1500,18,2,8,28,8,19,17,0,1
0.002,0.009,1500,19,2,9,29,9,20,18,0,1
0.002,0.01,0,20,2,10,30,10,NA,19,1,0
0.003,0.001,0,21,3,1,31,11,22,NA,1,0
0.003,0.002,1500,22,3,2,32,12,23,21,0,1
0.003,0.003,1500,23,3,3,33,13,24,22,0,0
0.003,0.004,1500,24,3,4,34,14,25,23,0,0
0.003,0.005,1500,25,3,5,35,15,26,24,0,0
0.003,0.006,1500,26,3,6,36,16,27,25,0,0
0.003,0.007,1500,27,3,7,37,17,28,26,0,0
0.003,0.008,1500,28,3,8,38,18,29,27,0,0
0.003,0.009,1500,29,3,9,39,19,30,28,0,1
0.003,0.01,0,30,3,10,40,20,NA,29,1,0
0.004,0.001,0,31,4,1,41,21,32,NA,1,0
0.004,0.002,1500,32,4,2,42,22,33,31,0,1
0.004,0.003,1500,33,4,3,43,23,34,32,0,0
0.004,0.004,1500,34,4,4,44,24,35,33,0,0
0.004,0.005,1500,35,4,5,45,25,36,34,0,0
0.004,0.006,1500,36,4,6,46,26,37,35,0,0
0.004,0.007,1500,37,4,7,47,27,38,36,0,0
0.004,0.008,1500,38,4,8,48,28,39,37,0,0
0.004,0.009,1500,39,4,9,49,29,40,38,0,1
0.004,0.01,0,40,4,10,50,30,NA,39,1,0
0.005,0.001,0,41,5,1,51,31,42,NA,1,0
0.005,0.002,1500,42,5,2,52,32,43,41,0,1
0.005,0.003,1500,43,5,3,53,33,44,42,0,0
0.005,0.004,1500,44,5,4,54,34,45,43,0,0
0.005,0.005,1500,45,5,5,55,35,46,44,0,0
0.005,0.006,1500,46,5,6,56,36,47,45,0,0
0.005,0.007,1500,47,5,7,57,37,48,46,0,0
0.005,0.008,1500,48,5,8,58,38,49,47,0,0
0.005,0.009,1500,49,5,9,59,39,50,48,0,1
0.005,0.01,0,50,5,10,60,40,NA,49,1,0
0.006,0.001,0,51,6,1,61,41,52,NA,1,0
0.006,0.002,1500,52,6,2,62,42,53,51,0,1
0.006,0.003,1500,53,6,3,63,43,54,52,0,0
0.006,0.004,1500,54,6,4,64,44,55,53,0,0
0.006,0.005,1500,55,6,5,65,45,56,54,0,0
0.006,0.006,1500,56,6,6,66,46,57,55,0,0
0.006,0.007,1500,57,6,7,67,47,58,56,0,0
0.006,0.008,1500,58,6,8,68,48,59,57,0,0
0.006,0.009,1500,59,6,9,69,49,60,58,0,1
0.006,0.01,0,60,6,10,70,50,NA,59,1,0
0.007,0.001,0,61,7,1,71,51,62,NA,1,0
0.007,0.002,1500,62,7,2,72,52,63,61,0,1
0.007,0.003,1500,63,7,3,73,53,64,62,0,0
0.007,0.004,1500,64,7,4,74,54,65,63,0,0
0.007,0.005,1500,65,7,5,75,55,66,64,0,0
0.007,0.006,1500,66,7,6,76,56,67,65,0,0
0.007,0.007,1500,67,7,7,77,57,68,66,0,0
0.007,0.008,1500,68,7,8,78,58,69,67,0,0
0.007,0.009,1500,69,7,9,79,59,70,68,0,1
0.007,0.01,0,70,7,10,80,60,NA,69,1,0
0.008,0.001,0,71,8,1,81,61,72,NA,1,0
0.008,0.002,1500,72,8,2,82,62,73,71,0,1
0.008,0.003,1500,73,8,3,83,63,74,72,0,0
0.008,0.004,1500,74,8,4,84,64,75,73,0,0
0.008,0.005,1500,75,8,5,85,65,76,74,0,0
0.008,0.006,1500,76,8,6,86,66,77,75,0,0
0.008,0.007,1500,77,8,7,87,67,78,76,0,0
0.008,0.008,1500,78,8,8,88,68,79,77,0,0
0.008,0.009,1500,79,8,9,89,69,80,78,0,1
0.008,0.01,0,80,8,10,90,70,NA,79,1,0
0.009,0.001,0,81,9,1,91,71,82,NA,1,0
0.009,0.002,1500,82,9,2,92,72,83,81,0,1
0.009,0.003,1500,83,9,3,93,73,84,82,0,1
0.009,0.004,1500,84,9,4,94,74,85,83,0,1
0.009,0.005,1500,85,9,5,95,75,86,84,0,1
0.009,0.006,1500,86,9,6,96,76,87,85,0,1
0.009,0.007,1500,87,9,7,97,77,88,86,0,1
0.009,0.008,1500,88,9,8,98,78,89,87,0,1
0.009,0.009,1500,89,9,9,99,79,90,88,0,1
0.009,0.01,0,90,9,10,100,80,NA,89,1,0
0.01,0.001,0,91,10,1,NA,81,92,NA,1,0
0.01,0.002,0,92,10,2,NA,82,93,91,1,0
0.01,0.003,0,93,10,3,NA,83,94,92,1,0
0.01,0.004,0,94,10,4,NA,84,95,93,1,0
0.01,0.005,0,95,10,5,NA,85,96,94,1,0
0.01,0.006,0,96,10,6,NA,86,97,95,1,0
0.01,0.007,0,97,10,7,NA,87,98,96,1,0
0.01,0.008,0,98,10,8,NA,88,99,97,1,0
0.01,0.009,0,99,10,9,NA,89,100,98,1,0
0.01,0.01,0,100,10,10,NA,90,NA,99,1,0
